epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9669,3.65066,17.392,4.1357,4.36594,0,0,0,0,0,0,0,0,0,3.07273,5.18958,4.00847,4.15852,0,5.716e-05,5.716e-05,5.716e-05
2,24.6136,3.5318,10.2986,3.98618,4.31395,0,0.0027,0.25,0.00145,0.00031,0.0009,0.08333,0.00018,2e-05,3.07088,5.19437,4.00945,4.15789,0,0.000115878,0.000115878,0.000115878
3,40.8274,3.57481,12.3257,4.17032,4.37521,0,0.00231,0.16667,0.00081,0.00024,0,0,0,0,3.07007,5.19677,4.01031,4.15758,0,0.000160448,0.000160448,0.000160448
4,56.3487,3.76129,10.3306,4.10033,4.31434,0,0.00169,0.16667,0.00088,0.00029,0,0,0,0,3.06818,5.20292,4.01286,4.15676,0,0.000190872,0.000190872,0.000190872
5,70.7262,3.74601,10.5473,4.04307,4.31367,0,0.0017,0.16667,0.00102,0.00028,0,0,0,0,3.06731,5.20643,4.01454,4.15634,0,0.000207148,0.000207148,0.000207148
6,85.1498,3.51168,9.9586,3.94875,4.35187,0,0.00173,0.16667,0.00095,0.00025,0,0,0,0,3.06643,5.21087,4.01687,4.15584,0,0.000209277,0.000209277,0.000209277
7,99.8213,3.56864,9.2126,4.06534,4.21843,0,0.00156,0.16667,0.001,0.00032,0,0,0,0,3.06555,5.21717,4.02021,4.15529,0,0.000197259,0.000197259,0.000197259
8,115.5,3.71552,9.47845,3.83428,4.25214,0,0.00156,0.16667,0.001,0.00032,0,0,0,0,3.06555,5.21717,4.02021,4.15529,0,0.000171094,0.000171094,0.000171094
9,131.296,3.59245,11.4455,3.97056,4.31925,0,0.0014,0.16667,0.00085,0.00024,0,0,0,0,3.06489,5.22473,4.02463,4.15475,0,0.000130782,0.000130782,0.000130782
10,148.137,3.62803,8.89939,3.9826,4.3021,0,0.00129,0.16667,0.00093,0.0003,0,0,0,0,3.06455,5.23377,4.03012,4.15437,0,7.63229e-05,7.63229e-05,7.63229e-05
